亪,7,91,4
享,14,84,3
京,14,84,4
亭,14,84,4
亮,15,83,5
亲,8,90,4
亳,17,81,4
亵,10,88,5
亶,18,80,5
亸,11,87,5
亹,20,78,5
人,7,91,1
亻,5,93,1
亼,9,89,2
亽,4,94,2
亿,8,90,2
什,10,88,2
仁,9,89,3
仂,13,85,2
仃,10,88,2
仄,12,86,2
仅,8,90,2
仆,10,88,2
仇,13,85,2
仈,11,87,3
仉,8,90,2
今,11,87,2
介,10,88,3
仌,6,92,2
仍,14,84,2
从,11,87,2
仏,11,87,2
仑,7,91,2
仒,5,93,3
仓,8,90,2
仔,12,86,2
仕,12,86,2
他,16,82,2
仗,14,84,2
付,11,87,3
仙,13,85,2
仚,11,87,2
仞,15,83,3
仟,12,86,2
仡,13,85,2
代,11,87,3
令,11,87,2
以,10,88,3
仨,11,87,4
仪,8,90,3
仫,11,87,3
们,8,90,4
仮,16,82,1
仰,15,83,3
仲,13,85,2
仳,14,84,3
仵,12,86,2
件,13,85,2
价,12,86,4
任,12,86,2
份,14,84,4
仿,13,85,2
伀,14,84,4
企,13,85,2
伄,9,89,2
伇,9,89,3
伈,13,85,5
伉,13,85,3
伊,14,84,2
伋,16,82,2
伍,14,84,2
伎,15,83,2
伏,13,85,3
伐,14,84,3
休,14,84,2
伕,14,84,2
众,12,86,3
优,9,89,3
伙,12,86,4
会,15,83,2
伛,9,89,3
伜,14,84,3
伝,14,84,3
伞,7,91,4
伟,9,89,2
传,8,90,2
伢,9,89,2
伣,10,88,3
伤,9,89,3
伥,9,89,3
伦,9,89,3
伧,9,89,3
伪,10,88,4
伫,6,92,4
伯,14,84,2
估,14,84,2
伱,13,85,5
伲,10,88,3
伴,13,85,4
伶,13,85,3
伸,15,83,2
伹,16,82,2
伺,15,83,4
伻,13,85,4
似,14,84,4
伽,17,81,3
伾,13,85,4
佃,17,81,2
但,15,83,3
佉,15,83,2
佌,16,82,3
位,13,85,4
低,15,83,2
住,13,85,2
佐,15,83,2
佑,15,83,2
体,15,83,2
何,14,84,3
佗,14,84,3
佘,13,85,4
余,14,84,3
佚,14,84,2
佛,19,79,2
作,12,86,2
佝,15,83,3
佞,16,82,4
佟,15,83,4
你,14,84,4
佡,9,89,3
佢,8,90,2
佣,17,81,2
佤,15,83,3
佥,7,91,5
佧,7,91,2
佩,19,79,2
佪,17,81,3
佫,9,89,2
佬,16,82,2
佯,14,84,2
佰,16,82,2
佱,15,83,2
佳,15,83,3
佴,9,89,2
佶,15,83,3
佷,16,82,2
佸,15,83,2
佹,16,82,3
佺,15,83,2
佻,17,81,4
佼,14,84,5
佽,14,84,4
佾,15,83,3
使,16,82,2
侀,11,87,4
侁,15,83,2
侂,16,82,3
侃,15,83,5
侄,15,83,3
侅,15,83,3
侇,10,88,2
侈,16,82,2
侉,16,82,3
例,17,81,4
侌,17,81,3
侍,14,84,3
侏,15,83,2
侐,17,81,2
侑,17,81,2
侔,15,83,3
侗,17,81,4
侘,15,83,3
侚,16,82,1
供,15,83,4
侜,10,88,4
依,15,83,2
侠,16,82,4
価,18,80,2
侢,10,88,2
侣,9,89,3
侥,10,88,3
侦,9,89,4
侧,12,86,6
侨,9,89,3
侩,9,89,4
侪,9,89,5
侬,10,88,2
侮,19,79,2
侯,17,81,3
侵,18,80,4
侽,18,80,2
便,17,81,2
促,15,83,2
俄,18,80,3
俅,15,83,5
俉,17,81,2
俊,17,81,3
俎,16,82,3
俏,16,82,3
俐,17,81,4
俑,18,80,2
俓,9,89,6
俗,16,82,4
俘,15,83,4
俚,18,80,2
俛,17,81,2
俜,16,82,3
保,16,82,2
俞,9,89,4
俟,17,81,2
信,17,81,6
俣,17,81,3
俤,18,80,2
俦,18,80,3
俨,8,90,3
俩,11,87,2
